id,k,B_U,Opt_U,ObjVal_dt_U,ObjVal_rf_U,Gap_dt_U,Gap_rf_U
3,9,7,6,6,6,0.0,0.0
3,10,7,3,3,3,0.0,0.0
3,1,8,,0,0,,
3,2,8,,0,2,,
3,3,8,,0,0,,
3,4,8,,0,0,,
3,5,8,,0,0,,
3,6,8,,0,0,,
3,7,8,,0,0,,
3,8,8,,0,0,,
3,9,8,,0,0,,
3,10,8,,0,0,,
3,1,9,,0,0,,
3,2,9,,0,0,,
3,3,9,,0,0,,
3,4,9,,0,0,,
3,5,9,,0,0,,
3,6,9,,0,0,,
3,7,9,,0,0,,
3,8,9,,0,0,,
3,9,9,,0,0,,
3,10,9,,0,0,,
4,1,1,72,73,72,1.3888888888888888,0.0
4,2,1,129,131,129,1.550387596899225,0.0
4,3,1,161,165,161,2.484472049689441,0.0
4,4,1,85,85,85,0.0,0.0
4,5,1,106,106,106,0.0,0.0
4,6,1,298,299,303,0.33557046979865773,1.6778523489932886
4,7,1,181,196,217,8.287292817679557,19.88950276243094
4,8,1,209,209,246,0.0,17.703349282296653
4,9,1,286,286,289,0.0,1.048951048951049
4,10,1,242,248,248,2.479338842975207,2.479338842975207
4,1,2,57,65,57,14.035087719298245,0.0
4,2,2,109,111,109,1.834862385321101,0.0
4,3,2,142,147,143,3.5211267605633805,0.7042253521126761
4,4,2,72,77,72,6.944444444444445,0.0
4,5,2,89,90,89,1.1235955056179776,0.0
4,6,2,251,256,255,1.9920318725099602,1.593625498007968
4,7,2,146,172,217,17.80821917808219,48.63013698630137
4,8,2,176,177,209,0.5681818181818182,18.75
4,9,2,241,242,244,0.4149377593360996,1.2448132780082988
4,10,2,200,200,200,0.0,0.0
4,1,3,43,50,57,16.27906976744186,32.55813953488372
4,2,3,90,91,92,1.1111111111111112,2.2222222222222223
4,3,3,124,131,125,5.64516129032258,0.8064516129032258
4,4,3,59,64,60,8.47457627118644,1.694915254237288
4,5,3,73,73,73,0.0,0.0
4,6,3,208,208,208,0.0,0.0
4,7,3,119,146,181,22.689075630252102,52.10084033613446
4,8,3,144,151,209,4.861111111111112,45.13888888888889
4,9,3,197,197,197,0.0,0.0
4,10,3,163,163,200,0.0,22.699386503067483
4,1,4,30,37,57,23.333333333333332,90.0
4,2,4,72,72,77,0.0,6.944444444444445
4,3,4,106,112,107,5.660377358490567,0.9433962264150944
4,4,4,47,52,47,10.638297872340425,0.0
4,5,4,58,66,73,13.793103448275861,25.862068965517242
4,6,4,171,171,208,0.0,21.637426900584796
4,7,4,93,119,146,27.956989247311824,56.98924731182796
4,8,4,118,126,209,6.779661016949152,77.11864406779661
4,9,4,161,167,197,3.7267080745341614,22.36024844720497
4,10,4,126,126,163,0.0,29.365079365079367
4,1,5,22,22,43,0.0,95.45454545454545
4,2,5,55,55,59,0.0,7.2727272727272725
4,3,5,88,92,88,4.545454545454546,0.0
4,4,5,37,42,37,13.513513513513514,0.0
4,5,5,45,58,58,28.888888888888886,28.888888888888886
4,6,5,136,150,171,10.294117647058822,25.735294117647058
4,7,5,69,83,119,20.28985507246377,72.46376811594203
4,8,5,92,101,209,9.782608695652174,127.17391304347827
4,9,5,131,143,161,9.16030534351145,22.900763358778626
4,10,5,94,94,126,0.0,34.04255319148936
4,1,6,17,17,30,0.0,76.47058823529412
4,2,6,40,40,40,0.0,0.0
4,3,6,72,76,72,5.555555555555555,0.0
4,4,6,28,33,37,17.857142857142858,32.142857142857146
4,5,6,33,45,58,36.36363636363637,75.75757575757575
4,6,6,104,118,171,13.461538461538462,64.42307692307693
4,7,6,48,48,93,0.0,93.75
4,8,6,67,68,176,1.4925373134328357,162.6865671641791
4,9,6,101,121,131,19.801980198019802,29.7029702970297
4,10,6,62,62,126,0.0,103.2258064516129
4,1,7,13,13,22,0.0,69.23076923076923
4,2,7,27,30,40,11.11111111111111,48.148148148148145
4,3,7,56,58,56,3.571428571428571,0.0
4,4,7,20,20,28,0.0,40.0
4,5,7,25,33,46,32.0,84.0
4,6,7,72,86,171,19.444444444444446,137.5
4,7,7,32,34,69,6.25,115.625
4,8,7,42,42,144,0.0,242.85714285714283
4,9,7,72,91,102,26.38888888888889,41.66666666666667
4,10,7,34,34,126,0.0,270.5882352941177
4,1,8,9,9,22,0.0,144.44444444444443
4,2,8,17,17,27,0.0,58.82352941176471
4,3,8,40,40,40,0.0,0.0
4,4,8,14,15,20,7.142857142857142,42.857142857142854
4,5,8,17,25,33,47.05882352941176,94.11764705882352
4,6,8,41,51,136,24.390243902439025,231.7073170731707
4,7,8,18,18,48,0.0,166.66666666666669
4,8,8,27,27,118,0.0,337.037037037037
4,9,8,48,62,72,29.166666666666668,50.0
4,10,8,20,20,126,0.0,530.0
4,1,9,5,5,22,0.0,340.0
4,2,9,11,11,17,0.0,54.54545454545454
4,3,9,27,32,40,18.51851851851852,48.148148148148145
4,4,9,9,9,20,0.0,122.22222222222223
4,5,9,10,10,33,0.0,229.99999999999997
4,6,9,20,20,104,0.0,420.0
4,7,9,12,18,48,50.0,300.0
4,8,9,14,18,93,28.57142857142857,564.2857142857143
4,9,9,26,26,48,0.0,84.61538461538461
4,10,9,11,11,98,0.0,790.9090909090909
5,1,1,236,237,237,0.423728813559322,0.423728813559322
5,2,1,329,331,329,0.60790273556231,0.0
5,3,1,325,327,325,0.6153846153846154,0.0
5,4,1,292,295,295,1.0273972602739725,1.0273972602739725
5,5,1,276,276,276,0.0,0.0
5,6,1,828,833,833,0.6038647342995169,0.6038647342995169
5,7,1,616,621,622,0.8116883116883116,0.974025974025974
5,8,1,800,818,818,2.25,2.25
5,9,1,672,678,677,0.8928571428571428,0.744047619047619
5,10,1,801,809,809,0.9987515605493134,0.9987515605493134
5,1,2,218,230,230,5.5045871559633035,5.5045871559633035
5,2,2,309,316,309,2.26537216828479,0.0
5,3,2,306,311,307,1.6339869281045754,0.32679738562091504
5,4,2,272,276,275,1.4705882352941175,1.1029411764705883
5,5,2,256,259,259,1.171875,1.171875
5,6,2,781,785,785,0.5121638924455826,0.5121638924455826
5,7,2,575,575,576,0.0,0.17391304347826086
5,8,2,755,780,780,3.3112582781456954,3.3112582781456954
5,9,2,625,633,633,1.28,1.28
5,10,2,751,761,761,1.3315579227696404,1.3315579227696404
5,1,3,201,212,212,5.472636815920398,5.472636815920398
5,2,3,290,299,294,3.103448275862069,1.3793103448275863
5,3,3,287,292,289,1.7421602787456445,0.6968641114982579
5,4,3,253,256,255,1.185770750988142,0.7905138339920948
5,5,3,238,243,239,2.100840336134454,0.42016806722689076
5,6,3,734,738,741,0.544959128065395,0.9536784741144414
5,7,3,535,535,535,0.0,0.0
5,8,3,710,741,737,4.366197183098591,3.8028169014084505
5,9,3,579,586,586,1.2089810017271159,1.2089810017271159
5,10,3,703,711,711,1.1379800853485065,1.1379800853485065
5,1,4,186,194,194,4.301075268817205,4.301075268817205
5,2,4,272,279,277,2.5735294117647056,1.8382352941176472
5,3,4,268,272,271,1.4925373134328357,1.1194029850746268
5,4,4,235,239,238,1.702127659574468,1.276595744680851
5,5,4,221,223,221,0.904977375565611,0.0
5,6,4,690,694,694,0.5797101449275363,0.5797101449275363
5,7,4,497,514,535,3.420523138832998,7.645875251509055
5,8,4,667,698,692,4.6476761619190405,3.7481259370314843
5,9,4,534,536,536,0.37453183520599254,0.37453183520599254
5,10,4,659,661,661,0.30349013657056145,0.30349013657056145
5,1,5,171,186,194,8.771929824561402,13.450292397660817
5,2,5,254,259,259,1.968503937007874,1.968503937007874
5,3,5,250,256,252,2.4,0.8
5,4,5,218,221,220,1.3761467889908259,0.9174311926605505
5,5,5,205,205,205,0.0,0.0
5,6,5,646,652,652,0.9287925696594427,0.9287925696594427
5,7,5,460,477,535,3.6956521739130435,16.304347826086957
5,8,5,628,651,647,3.662420382165605,3.0254777070063694
5,9,5,490,490,507,0.0,3.4693877551020407
5,10,5,615,618,618,0.4878048780487805,0.4878048780487805
5,1,6,156,178,194,14.102564102564102,24.358974358974358
5,2,6,237,240,240,1.2658227848101267,1.2658227848101267
5,3,6,232,238,233,2.586206896551724,0.43103448275862066
5,4,6,201,201,201,0.0,0.0
5,5,6,190,194,205,2.1052631578947367,7.894736842105263
5,6,6,603,608,609,0.8291873963515755,0.9950248756218906
5,7,6,423,440,535,4.0189125295508275,26.47754137115839
5,8,6,590,606,600,2.711864406779661,1.694915254237288
5,9,6,452,461,461,1.991150442477876,1.991150442477876
5,10,6,572,574,574,0.34965034965034963,0.34965034965034963
5,1,7,141,171,194,21.27659574468085,37.5886524822695
