id,k,B_,Opt_,ObjVal_dt_,ObjVal_rf_,Gap_dt_,Gap_rf_
3,8,20,90,0,0,-100.0,-100.0
3,9,20,102,0,0,-100.0,-100.0
3,10,20,101,0,0,-100.0,-100.0
3,1,30,44,0,0,-100.0,-100.0
3,2,30,44,0,0,-100.0,-100.0
3,3,30,52,0,0,-100.0,-100.0
3,4,30,42,0,0,-100.0,-100.0
3,5,30,55,0,0,-100.0,-100.0
3,6,30,145,0,0,-100.0,-100.0
3,7,30,60,0,0,-100.0,-100.0
3,8,30,65,0,0,-100.0,-100.0
3,9,30,84,0,0,-100.0,-100.0
3,10,30,85,0,0,-100.0,-100.0
3,1,40,42,0,0,-100.0,-100.0
3,2,40,34,0,0,-100.0,-100.0
3,3,40,48,0,0,-100.0,-100.0
3,4,40,37,0,0,-100.0,-100.0
3,5,40,41,0,0,-100.0,-100.0
3,6,40,125,0,0,-100.0,-100.0
3,7,40,60,0,0,-100.0,-100.0
3,8,40,59,0,0,-100.0,-100.0
3,9,40,78,0,0,-100.0,-100.0
3,10,40,69,0,0,-100.0,-100.0
3,1,80,26,0,0,-100.0,-100.0
3,2,80,17,0,0,-100.0,-100.0
3,3,80,24,0,0,-100.0,-100.0
3,4,80,24,0,0,-100.0,-100.0
3,5,80,28,0,0,-100.0,-100.0
3,6,80,83,0,0,-100.0,-100.0
3,7,80,34,0,0,-100.0,-100.0
3,8,80,31,0,0,-100.0,-100.0
3,9,80,47,0,0,-100.0,-100.0
3,10,80,25,0,0,-100.0,-100.0
3,1,120,13,0,0,-100.0,-100.0
3,2,120,9,0,0,-100.0,-100.0
3,3,120,8,0,0,-100.0,-100.0
3,4,120,14,0,0,-100.0,-100.0
3,5,120,19,0,0,-100.0,-100.0
3,6,120,53,0,0,-100.0,-100.0
3,7,120,10,0,0,-100.0,-100.0
3,8,120,15,0,0,-100.0,-100.0
3,9,120,17,0,0,-100.0,-100.0
3,10,120,3,0,0,-100.0,-100.0
3,1,150,9,0,0,-100.0,-100.0
3,2,150,6,0,0,-100.0,-100.0
3,3,150,1,0,0,-100.0,-100.0
3,4,150,6,0,0,-100.0,-100.0
3,5,150,9,0,0,-100.0,-100.0
3,6,150,34,0,0,-100.0,-100.0
3,7,150,4,0,0,-100.0,-100.0
3,8,150,3,0,0,-100.0,-100.0
3,9,150,9,0,0,-100.0,-100.0
3,10,150,0,0,0,,
3,1,200,2,0,0,-100.0,-100.0
3,2,200,0,0,0,,
3,3,200,0,0,0,,
3,4,200,2,0,0,-100.0,-100.0
3,5,200,2,0,0,-100.0,-100.0
3,6,200,13,0,0,-100.0,-100.0
3,7,200,0,0,0,,
3,8,200,0,0,0,,
3,9,200,0,0,0,,
3,10,200,0,0,0,,
4,1,5,87,25,25,-71.26436781609196,-71.26436781609196
4,2,5,129,85,85,-34.10852713178294,-34.10852713178294
4,3,5,161,142,106,-11.801242236024844,-34.161490683229815
4,4,5,99,42,42,-57.57575757575758,-57.57575757575758
4,5,5,101,69,69,-31.683168316831683,-31.683168316831683
4,6,5,329,248,295,-24.620060790273556,-10.33434650455927
4,7,5,190,115,115,-39.473684210526315,-39.473684210526315
4,8,5,246,139,139,-43.49593495934959,-43.49593495934959
4,9,5,244,161,197,-34.01639344262295,-19.262295081967213
4,10,5,216,160,121,-25.925925925925924,-43.98148148148148
4,1,10,87,7,7,-91.95402298850574,-91.95402298850574
4,2,10,125,5,5,-96.0,-96.0
4,3,10,142,48,48,-66.19718309859155,-66.19718309859155
4,4,10,93,7,5,-92.47311827956989,-94.6236559139785
4,5,10,101,16,8,-84.15841584158416,-92.07920792079209
4,6,10,292,101,69,-65.41095890410958,-76.36986301369863
4,7,10,168,8,12,-95.23809523809523,-92.85714285714286
4,8,10,220,18,18,-91.81818181818183,-91.81818181818183
4,9,10,244,39,39,-84.01639344262296,-84.01639344262296
4,10,10,213,11,11,-94.83568075117371,-94.83568075117371
4,1,20,72,0,0,-100.0,-100.0
4,2,20,108,0,0,-100.0,-100.0
4,3,20,124,0,0,-100.0,-100.0
4,4,20,87,0,0,-100.0,-100.0
4,5,20,81,0,0,-100.0,-100.0
4,6,20,277,0,0,-100.0,-100.0
4,7,20,137,0,0,-100.0,-100.0
4,8,20,183,0,0,-100.0,-100.0
4,9,20,235,0,0,-100.0,-100.0
4,10,20,174,0,0,-100.0,-100.0
4,1,30,72,0,0,-100.0,-100.0
4,2,30,99,0,0,-100.0,-100.0
4,3,30,106,0,0,-100.0,-100.0
4,4,30,79,0,0,-100.0,-100.0
4,5,30,81,0,0,-100.0,-100.0
4,6,30,260,0,0,-100.0,-100.0
4,7,30,116,0,0,-100.0,-100.0
4,8,30,158,0,0,-100.0,-100.0
4,9,30,197,0,0,-100.0,-100.0
4,10,30,165,0,0,-100.0,-100.0
4,1,40,59,0,0,-100.0,-100.0
4,2,40,93,0,0,-100.0,-100.0
4,3,40,106,0,0,-100.0,-100.0
4,4,40,73,0,0,-100.0,-100.0
4,5,40,65,0,0,-100.0,-100.0
4,6,40,244,0,0,-100.0,-100.0
4,7,40,100,0,0,-100.0,-100.0
4,8,40,147,0,0,-100.0,-100.0
4,9,40,191,0,0,-100.0,-100.0
4,10,40,126,0,0,-100.0,-100.0
4,1,80,41,0,0,-100.0,-100.0
4,2,80,65,0,0,-100.0,-100.0
4,3,80,72,0,0,-100.0,-100.0
4,4,80,53,0,0,-100.0,-100.0
4,5,80,52,0,0,-100.0,-100.0
4,6,80,165,0,0,-100.0,-100.0
4,7,80,64,0,0,-100.0,-100.0
4,8,80,90,0,0,-100.0,-100.0
4,9,80,151,0,0,-100.0,-100.0
4,10,80,62,0,0,-100.0,-100.0
4,1,120,27,0,0,-100.0,-100.0
4,2,120,47,0,0,-100.0,-100.0
4,3,120,56,0,0,-100.0,-100.0
4,4,120,37,0,0,-100.0,-100.0
4,5,120,40,0,0,-100.0,-100.0
4,6,120,122,0,0,-100.0,-100.0
4,7,120,38,0,0,-100.0,-100.0
4,8,120,59,0,0,-100.0,-100.0
4,9,120,115,0,0,-100.0,-100.0
4,10,120,34,0,0,-100.0,-100.0
4,1,150,22,0,0,-100.0,-100.0
4,2,150,30,0,0,-100.0,-100.0
4,3,150,56,0,0,-100.0,-100.0
4,4,150,24,0,0,-100.0,-100.0
4,5,150,30,0,0,-100.0,-100.0
4,6,150,87,0,0,-100.0,-100.0
4,7,150,14,0,0,-100.0,-100.0
4,8,150,41,0,0,-100.0,-100.0
4,9,150,92,0,0,-100.0,-100.0
4,10,150,20,0,0,-100.0,-100.0
4,1,200,13,0,0,-100.0,-100.0
4,2,200,17,0,0,-100.0,-100.0
4,3,200,27,0,0,-100.0,-100.0
4,4,200,14,0,0,-100.0,-100.0
4,5,200,18,0,0,-100.0,-100.0
4,6,200,55,0,0,-100.0,-100.0
4,7,200,8,0,0,-100.0,-100.0
4,8,200,15,0,0,-100.0,-100.0
4,9,200,55,0,0,-100.0,-100.0
4,10,200,6,0,0,-100.0,-100.0
5,1,5,231,196,181,-15.151515151515152,-21.645021645021643
5,2,5,321,285,285,-11.214953271028037,-11.214953271028037
5,3,5,306,282,263,-7.8431372549019605,-14.052287581699346
5,4,5,309,248,230,-19.741100323624593,-25.5663430420712
5,5,5,261,233,216,-10.727969348659004,-17.24137931034483
5,6,5,837,778,825,-7.048984468339308,-1.4336917562724014
5,7,5,616,531,531,-13.7987012987013,-13.7987012987013
5,8,5,783,705,705,-9.961685823754788,-9.961685823754788
5,9,5,587,574,575,-2.2146507666098807,-2.0442930153321974
5,10,5,739,654,654,-11.502029769959405,-11.502029769959405
5,1,10,226,131,104,-42.0353982300885,-53.98230088495575
5,2,10,314,178,178,-43.31210191082803,-43.31210191082803
5,3,10,287,172,172,-40.069686411149824,-40.069686411149824
5,4,10,297,150,150,-49.494949494949495,-49.494949494949495
5,5,10,252,152,139,-39.682539682539684,-44.84126984126984
5,6,10,802,594,550,-25.935162094763093,-31.421446384039903
5,7,10,578,304,304,-47.40484429065744,-47.40484429065744
5,8,10,744,506,506,-31.989247311827956,-31.989247311827956
5,9,10,549,377,377,-31.329690346083787,-31.329690346083787
5,10,10,714,483,483,-32.35294117647059,-32.35294117647059
5,1,20,217,34,22,-84.33179723502305,-89.86175115207374
5,2,20,298,59,51,-80.20134228187919,-82.88590604026845
5,3,20,269,59,43,-78.06691449814126,-84.01486988847584
5,4,20,283,59,50,-79.15194346289752,-82.3321554770318
5,5,20,232,45,45,-80.60344827586206,-80.60344827586206
5,6,20,738,182,182,-75.33875338753387,-75.33875338753387
5,7,20,500,85,71,-83.0,-85.8
5,8,20,661,203,203,-69.28895612708018,-69.28895612708018
5,9,20,495,103,125,-79.1919191919192,-74.74747474747475
5,10,20,672,177,177,-73.66071428571429,-73.66071428571429
5,1,30,206,0,0,-100.0,-100.0
5,2,30,286,0,0,-100.0,-100.0
5,3,30,255,0,0,-100.0,-100.0
5,4,30,271,0,0,-100.0,-100.0
5,5,30,224,0,0,-100.0,-100.0
5,6,30,712,0,0,-100.0,-100.0
5,7,30,451,4,8,-99.1130820399113,-98.22616407982262
5,8,30,614,2,0,-99.6742671009772,-100.0
5,9,30,490,4,0,-99.18367346938776,-100.0
5,10,30,656,0,6,-100.0,-99.08536585365853
5,1,40,200,0,0,-100.0,-100.0
5,2,40,273,0,0,-100.0,-100.0
5,3,40,243,0,0,-100.0,-100.0
5,4,40,260,0,0,-100.0,-100.0
5,5,40,212,0,0,-100.0,-100.0
5,6,40,674,0,0,-100.0,-100.0
